"GREAVES 2022.1 PRICE SCHEDULE Effective January 1, 2022",,,,,,,,
Orders less than $100 incur a $15 Small Order Fee.  Ground freight free to contiguous 48 states.,,,,,,,,
Catalog,Distrib Net,,,    Ctn ,  Trade List,, NAED # ,2021
Number,$/ea,,Description Category,Qty,$/ea,Mult,784491,Cat Page
A10,3.1807,,SPLIT BOLT,50,7.9518,0.40,10400,8
A10DB,5.9545,,MESH BUG DB,1,9.1608,0.65,10261,80
A10SP                    ,3.8162,,SPLIT BOLT,50,9.5404,0.40,10420,8
A11                      ,5.8010,,SPLIT BOLT,25,12.8910,0.45,10430,8
A11SP                    ,6.9364,,SPLIT BOLT,25,15.4143,0.45,10450,8
A12                      ,7.9732,,SPLIT BOLT,25,17.7182,0.45,10460,8
A12SP                    ,9.6270,,SPLIT BOLT,25,21.3934,0.45,10480,8
A14                      ,9.2815,,SPLIT BOLT,25,20.6255,0.45,10490,8
A14SP                    ,11.7253,,SPLIT BOLT,25,26.0562,0.45,10510,8
A15                      ,17.3287,,SPLIT BOLT,12,38.5082,0.45,10520,8
A15SP                    ,21.2042,,SPLIT BOLT,12,47.1205,0.45,10540,8
A16                      ,22.2163,,SPLIT BOLT,12,49.3695,0.45,10550,8
A16SP                    ,27.9756,,SPLIT BOLT,12,62.1680,0.45,10570,8
A17                      ,52.1838,,SPLIT BOLT,3,115.9640,0.45,10580,8
A17SP                    ,57.2930,,SPLIT BOLT,3,127.3178,0.45,10600,8
A18                      ,57.7877,,SPLIT BOLT,3,128.4170,0.45,10610,8
A18SP                    ,75.9987,,SPLIT BOLT,3,168.8860,0.45,10630,8
A2                       ,1.1735,,SPLIT BOLT,100,2.9337,0.40,10130,8
A2DB                     ,2.2463,,MESH BUG DB,1,3.4559,0.65,10131,80
A2L                      ,1.6752,,SPLIT BOLT,100,4.1880,0.40,10140,8
A3                       ,1.2643,,SPLIT BOLT,100,3.1607,0.40,10180,8
A3DB                     ,2.4246,,MESH BUG DB,1,3.7301,0.65,10132,80
A3SP                     ,1.6632,,SPLIT BOLT,100,4.1581,0.40,10210,8
A4                       ,1.6500,,SPLIT BOLT,100,4.1250,0.40,10220,8
A5                       ,1.5732,,SPLIT BOLT,100,3.9331,0.40,10240,8
A5DB                     ,2.9307,,MESH BUG DB,1,4.5087,0.65,10241,80
A5SP                     ,1.9638,,SPLIT BOLT,100,4.9095,0.40,10270,8
A6                       ,2.4900,,SPLIT BOLT,100,6.2250,0.40,10280,8
A8                       ,2.4852,,SPLIT BOLT,100,6.2129,0.40,10350,8
A8DB                     ,4.6353,,MESH BUG DB,1,7.1312,0.65,10361,80
A8SP                     ,2.9635,,SPLIT BOLT,100,7.4088,0.40,10370,8
A9                       ,2.9560,,SPLIT BOLT,100,7.3900,0.40,10380,8
A104                     ,10.4410,,2-BOLT TAP CONN,12,16.0630,0.65,12100,9
A105                     ,16.4406,,2-BOLT TAP CONN,12,25.2932,0.65,12120,9
A106                     ,22.1434,,2-BOLT TAP CONN,12,34.0668,0.65,12140,9
A107                     ,28.0794,,2-BOLT TAP CONN,6,43.1990,0.65,12160,9
A108                     ,34.3016,,2-BOLT TAP CONN,6,52.7717,0.65,12180,9
A109                     ,44.9228,,2-BOLT TAP CONN,3,69.1120,0.65,12200,9
A110                     ,63.4622,,2-BOLT TAP CONN,2,97.6342,0.65,12220,9
A504                     ,9.9640,,2-BOLT TAP CONN,12,15.3292,0.65,12240,9
A505                     ,19.7633,,2-BOLT TAP CONN,12,30.4050,0.65,12260,9
A506                     ,23.0224,,2-BOLT TAP CONN,12,35.4190,0.65,12280,9
A507                     ,36.9623,,2-BOLT TAP CONN,6,56.8650,0.65,12300,9
A508                     ,42.7922,,2-BOLT TAP CONN,6,65.8342,0.65,12320,9
A509                     ,66.1440,,2-BOLT TAP CONN,3,101.7600,0.65,12340,9
A510                     ,87.0154,,2-BOLT TAP CONN,2,133.8698,0.65,12360,9
A-1000                   ,7.9930,,AL MECH LUG,4,15.9860,0.50,50200,46
A-1000N                  ,9.3561,,AL MECH LUG,3,18.7121,0.50,71061,46
A-1000N-2                ,16.1955,,AL MECH LUG,4,32.3910,0.50,71063,46
A-2/0                    ,0.7536,,AL MECH LUG,50,1.5072,0.50,50110,46
A-212                    ,0.4736,,AL MECH LUG,200,0.9471,0.50,50120,46
A-250                    ,1.8190,,AL MECH LUG,25,3.6379,0.50,50140,46
A-250N,3.4458,,AL MECH LUG,3,6.8915,0.50,71049,46
A-3/0                    ,1.3179,,AL MECH LUG,50,2.6357,0.50,50115,46
A-300                    ,2.0070,,AL MECH LUG,20,4.0140,0.50,50150,46
A-350                    ,2.4804,,AL MECH LUG,20,4.9608,0.50,50160,46
A-350N                   ,4.1384,,AL MECH LUG,3,8.2767,0.50,71050,46
A-500                    ,3.9135,,AL MECH LUG,10,7.8270,0.50,50170,46
A-600                    ,4.7293,,AL MECH LUG,4,9.4586,0.50,50180,46
A-600N                   ,6.5445,,AL MECH LUG,3,13.0890,0.50,71055,46
A-600N-2                 ,10.5827,,AL MECH LUG,4,21.1653,0.50,71056,46
A-614                    ,0.3520,,AL MECH LUG,250,0.7040,0.50,50130,46
A-800                    ,7.6615,,AL MECH LUG,4,15.3230,0.50,50190,46
A-800N                   ,7.7168,,AL MECH LUG,4,15.4336,0.50,71060,46
A-800N-2                 ,15.3750,,AL MECH LUG,4,30.7500,0.50,71062,46
AA-1000                  ,14.4850,,AL MECH LUG 2-WIRE,3,28.9700,0.50,50260,46
AA-1000N                 ,23.1620,,AL MECH LUG 2-WIRE,3,46.3240,0.50,12361,47
AA-2/0                   ,1.5455,,AL MECH LUG 2-WIRE,25,3.0909,0.50,50215,46
AA-250                   ,3.8286,,AL MECH LUG 2-WIRE,10,7.6572,0.50,50220,46
AA-250N                  ,6.8174,,AL MECH LUG 2-WIRE,3,13.6348,0.50,71064,47
AA-350                   ,5.3718,,AL MECH LUG 2-WIRE,5,10.7435,0.50,50230,46
AA-350N                  ,7.4450,,AL MECH LUG 2-WIRE,3,14.8899,0.50,71065,47
AA-600                   ,9.1100,,AL MECH LUG 2-WIRE,4,18.2200,0.50,50240,46
AA-600N                  ,12.6079,,AL MECH LUG 2-WIRE,3,25.2157,0.50,71070,47
AA-600N-2                ,28.4105,,AL MECH LUG 2-WIRE,3,56.8210,0.50,12371,47
AA-800                   ,11.9020,,AL MECH LUG 2-WIRE,3,23.8040,0.50,50250,46
AA-800N                  ,19.0545,,AL MECH LUG 2-WIRE,3,38.1089,0.50,71075,47
AA-800N-2                ,43.6427,,AL MECH LUG 2-WIRE,1,87.2853,0.50,12376,47
AAA-1000N                ,79.0018,,AL MECH LUG 3-WIRE,2,131.6696,0.60,12380,47
AAA-1000N-2              ,92.7483,,AL MECH LUG 3-WIRE,3,154.5805,0.60,12383,47
AAA-2                    ,5.6479,,AL MECH LUG 3-WIRE,5,9.4132,0.60,50270,47
AAA-2/0                  ,10.5085,,AL MECH LUG 3-WIRE,5,17.5142,0.60,50273,47
AAA-250N                 ,26.6648,,AL MECH LUG 3-WIRE,3,44.4414,0.60,12365,47
AAA-350N                 ,41.2466,,AL MECH LUG 3-WIRE,2,68.7443,0.60,12370,47
AAA-600N                 ,42.7869,,AL MECH LUG 3-WIRE,3,71.3115,0.60,12372,47
AAA-600N-2               ,49.1536,,AL MECH LUG 3-WIRE,3,81.9227,0.60,12382,47
AAA-800N                 ,58.1217,,AL MECH LUG 3-WIRE,2,96.8695,0.60,12375,47
AAA-800N-2               ,74.5177,,AL MECH LUG 3-WIRE,3,124.1962,0.60,12377,47
AAAA-1000N               ,61.9439,,AL MECH LUG 4-WIRE,2,103.2398,0.60,12399,47
AAAA-1000N-2             ,97.5678,,AL MECH LUG 4-WIRE,1,162.6130,0.60,12398,47
AAAA-250N                ,29.1293,,AL MECH LUG 4-WIRE,4,48.5489,0.60,12385,47
AAAA-350N                ,47.8187,,AL MECH LUG 4-WIRE,4,79.6978,0.60,12390,47
AAAA-600N                ,49.5986,,AL MECH LUG 4-WIRE,3,82.6643,0.60,12392,47
AAAA-600N-2              ,58.6009,,AL MECH LUG 4-WIRE,2,97.6682,0.60,12396,47
AAAA-800N                ,68.9383,,AL MECH LUG 4-WIRE,2,114.8971,0.60,12395,47
AAAA-800N-2              ,89.3048,,AL MECH LUG 4-WIRE,1,148.8414,0.60,12397,47
ABS 10                   ,2.7457,,AL MECH SPLICE,25,5.4913,0.50,12502,50
ABS 2                    ,1.9768,,AL MECH SPLICE,25,3.9535,0.50,12501,50
ABS 250                  ,7.2862,,AL MECH SPLICE,12,14.5723,0.50,12504,50
ABS 350                  ,14.8029,,AL MECH SPLICE,12,29.6058,0.50,12506,50
ABS 40                   ,5.4182,,AL MECH SPLICE,25,10.8364,0.50,12503,50
ABS 500                  ,19.1080,,AL MECH SPLICE,6,38.2160,0.50,12507,50
ABS 750                  ,Quoted,,AL MECH SPLICE,3,Quoted,,12508,50
AC1000R750               ,89.9288,,AL REDUCING SPLICE,1,123.1901,0.73,53107,38
AC1/0R2,27.8010,,AL REDUCING SPLICE,1,38.0836,0.73,53012,38
AC2/0R1,29.4409,,AL REDUCING SPLICE,1,40.3300,0.73,53021,38
AC250R3/0,41.5418,,AL REDUCING SPLICE,1,56.9066,0.73,53253,38
AC300R4/0,47.4536,,AL REDUCING SPLICE,1,65.0049,0.73,53304,38
AC30R1/0,31.0134,,AL REDUCING SPLICE,1,42.4841,0.73,53031,38
AC350R4/0,50.2706,,AL REDUCING SPLICE,1,68.8639,0.73,53354,38
AC400R250                ,58.0986,,AL REDUCING SPLICE,1,79.5871,0.73,53402,38
AC4/0R2/0,34.6883,,AL REDUCING SPLICE,1,47.5182,0.73,53042,38
AC500R300                ,57.5952,,AL REDUCING SPLICE,1,78.8975,0.73,53530,38
AC500R350                ,55.9974,,AL REDUCING SPLICE,1,76.7087,0.73,53535,38
AC600R350                ,60.9672,,AL REDUCING SPLICE,1,83.5167,0.73,53635,38
AC750R500                ,63.0527,,AL REDUCING SPLICE,1,86.3736,0.73,53750,38
AL100058                 ,27.8144,,AL COMP LUG,1,55.6288,0.50,50450,39
AL1000N                  ,32.1451,,AL COMPR LUG NEMA,1,64.2901,0.50,50478,40
AL1038                   ,5.3795,,AL COMP LUG,24,10.7590,0.50,50406,39
AL1048                   ,5.3795,,AL COMP LUG,24,10.7590,0.50,50408,39
AL10N                    ,5.3636,,AL COMPR LUG NEMA,12,10.7272,0.50,50454,40
AL114                    ,5.0350,,AL COMP LUG,24,10.0700,0.50,50405,39
AL2038                   ,6.0685,,AL COMP LUG,12,12.1370,0.50,50410,39
AL2048                   ,6.0685,,AL COMP LUG,12,12.1370,0.50,50412,39
AL20N                    ,6.3907,,AL COMPR LUG NEMA,12,12.7813,0.50,50456,40
AL214                    ,4.4096,,AL COMP LUG,24,8.8192,0.50,50404,39
AL238                    ,4.4096,,AL COMP LUG,24,8.8192,0.50,50409,39
AL25048                  ,7.4878,,AL COMP LUG,12,14.9755,0.50,50422,39
AL250N                   ,8.6946,,AL COMPR LUG NEMA,12,17.3891,0.50,50462,40
AL30048                  ,8.4203,,AL COMP LUG,6,16.8405,0.50,50424,39
AL300N                   ,9.0511,,AL COMPR LUG NEMA,6,18.1022,0.50,50464,40
AL3038                   ,6.5455,,AL COMP LUG,12,13.0910,0.50,50414,39
AL3048                   ,6.5455,,AL COMP LUG,12,13.0910,0.50,50416,39
AL30N                    ,7.1550,,AL COMPR LUG NEMA,12,14.3100,0.50,50458,40
AL35048                  ,8.9962,,AL COMP LUG,6,17.9924,0.50,50426,39
AL350N                   ,9.5082,,AL COMPR LUG NEMA,6,19.0164,0.50,50466,40
AL40048                  ,13.2765,,AL COMP LUG,6,26.5530,0.50,50428,39
AL400N                   ,13.6315,,AL COMPR LUG NEMA,6,27.2630,0.50,50468,40
AL4038                   ,7.2135,,AL COMP LUG,12,14.4269,0.50,50418,39
AL4048                   ,7.2135,,AL COMP LUG,12,14.4269,0.50,50420,39
AL40N                    ,8.2150,,AL COMPR LUG NEMA,12,16.4300,0.50,50460,40
AL414                    ,3.7206,,AL COMP LUG,24,7.4412,0.50,50402,39
AL438                    ,3.7206,,AL COMP LUG,24,7.4412,0.50,50403,39
AL50048                  ,15.8152,,AL COMP LUG,6,31.6304,0.50,50432,39
AL50058                  ,15.8152,,AL COMP LUG,6,31.6304,0.50,50434,39
AL500N                   ,16.7480,,AL COMPR LUG NEMA,6,33.4960,0.50,50470,40
AL60048                  ,18.4588,,AL COMP LUG,3,36.9175,0.50,50436,39
AL60058                  ,18.4588,,AL COMP LUG,3,36.9175,0.50,50438,39
AL600N                   ,19.8027,,AL COMPR LUG NEMA,3,39.6053,0.50,50472,40
AL614                    ,3.6676,,AL COMP LUG,24,7.3352,0.50,50400,39
AL75048                  ,19.7753,,AL COMP LUG,3,39.5505,0.50,50442,39
AL75058                  ,19.7753,,AL COMP LUG,3,39.5505,0.50,50444,39
AL750N                   ,20.2690,,AL COMPR LUG NEMA,3,40.5379,0.50,50474,40
AL814                    ,3.3814,,AL COMP LUG,24,6.7628,0.50,50401,39
ALCL1/0A2N,Quoted,,AL COMPR LUG,1,Quoted,,49120,99
ALCL1/0A4N               ,Quoted,,AL COMPR LUG,1,Quoted,,49140,99
ALCL1033A44N,Quoted,,AL COMPR LUG,1,Quoted,,49134,99
ALCL1200A44N,Quoted,,AL COMPR LUG,1,Quoted,,49124,99
ALCL1400A44N,Quoted,,AL COMPR LUG,1,Quoted,,49144,99
ALCL1590A4N,Quoted,,AL COMPR LUG,1,Quoted,,49154,99
ALCL1750A4N,Quoted,,AL COMPR LUG,1,Quoted,,49174,99
ALCL2/0A2N,Quoted,,AL COMPR LUG,1,Quoted,,49202,99
ALCL2/0A4N               ,Quoted,,AL COMPR LUG,1,Quoted,,49204,99
ALCL226A2N,Quoted,,AL COMPR LUG,1,Quoted,,49262,99
ALCL226A4N,Quoted,,AL COMPR LUG,1,Quoted,,49264,99
ALCL2A2N,Quoted,,AL COMPR LUG,1,Quoted,,49220,99
ALCL3/0A2N,Quoted,,AL COMPR LUG,1,Quoted,,49302,99
ALCL3/0A4N,Quoted,,AL COMPR LUG,1,Quoted,,49304,99
ALCL3000A44N,Quoted,,AL COMPR LUG,1,Quoted,,49344,99
ALCL336A4N,Quoted,,AL COMPR LUG,1,Quoted,,49364,99
ALCL3500A44N,Quoted,,AL COMPR LUG,1,Quoted,,49354,99
ALCL397A4N               ,Quoted,,AL COMPR LUG,1,Quoted,,49374,99
ALCL4/0A2N,Quoted,,AL COMPR LUG,1,Quoted,,49402,99
ALCL4/0A4N               ,Quoted,,AL COMPR LUG,1,Quoted,,49404,99
ALCL700A44N,Quoted,,AL COMPR LUG,1,Quoted,,49744,99
ALCL800A44N,Quoted,,AL COMPR LUG,1,Quoted,,49844,99
ALCL900A44N,Quoted,,AL COMPR LUG,1,Quoted,,49944,99
ANB20-3-3                ,6.5042,,AL NEUTRAL BAR,25,10.0065,0.65,26132,58
ANB20-6-2                ,8.6030,,AL NEUTRAL BAR,25,13.2354,0.65,26133,58
ANB2-10-3                ,4.0034,,AL NEUTRAL BAR,50,6.1590,0.65,26121,58
ANB4-10-2                ,2.6499,,AL NEUTRAL BAR,50,4.0768,0.65,26111,58
ANB4-12-2                ,3.0296,,AL NEUTRAL BAR,50,4.6609,0.65,26112,58
ANB4-15-2                ,3.6897,,AL NEUTRAL BAR,50,5.6764,0.65,26115,58
ANB4-190                 ,Quoted,,AL NEUTRAL BAR,10,Quoted,,26100,58
ANB4-20-2                ,4.7302,,AL NEUTRAL BAR,50,7.2772,0.65,26116,58
ANB4-4-1                 ,1.2044,,AL NEUTRAL BAR,100,1.8529,0.65,26102,58
ANB4-4-3                 ,1.3935,,AL NEUTRAL BAR,100,2.1439,0.65,26103,58
ANB4-5-2                 ,1.7238,,AL NEUTRAL BAR,100,2.6520,0.65,26105,58
ANB4-6-1                 ,2.7301,,AL NEUTRAL BAR,100,4.2001,0.65,26107,58
ANB4-6-3                 ,1.8534,,AL NEUTRAL BAR,100,2.8514,0.65,26108,58
ANB4-7-3                 ,2.0484,,AL NEUTRAL BAR,100,3.1514,0.65,26109,58
ANB4-9-2                 ,3.3157,,AL NEUTRAL BAR,50,5.1010,0.65,26110,58
AQ2-300                  ,8.8655,,AL PANELBOARD,3,14.7758,0.60,12400,48
AQ2-600                  ,29.4032,,AL PANELBOARD,3,49.0053,0.60,12405,48
AQ2-750                  ,31.5901,,AL PANELBOARD,4,52.6502,0.60,12406,48
AQ2-750N                 ,43.9092,,AL LUG NEMA,4,73.1820,0.60,12407,48
AQ2-800                  ,32.0047,,AL PANELBOARD,4,53.3411,0.60,12410,48
AQ3-600                  ,31.7650,,AL PANELBOARD,3,52.9417,0.60,12415,48
AQ3-800                  ,39.0217,,AL PANELBOARD,4,65.0361,0.60,12420,48
AQ4-600                  ,36.9679,,AL PANELBOARD,4,61.6131,0.60,12425,48
AQ4-750N,57.3126,,AL LUG NEMA,2,95.5210,0.60,12428,48
AQ4-800                  ,41.8285,,AL PANELBOARD,4,69.7141,0.60,12430,48
AQ6-500-2                ,51.6181,,AL PANELBOARD,3,86.0302,0.60,12452,48
AQ6-750-2                ,58.7378,,AL PANELBOARD,3,97.8964,0.60,12472,48
AQ6-750-4N               ,65.0019,,AL LUG NEMA,2,108.3365,0.60,12474,48
ASC1000-K,57.1029,,AL SPLICE KIT,1,78.2232,0.73,80175,68
ASC1000T,31.1746,,AL COMPR SPLICE,1,62.3492,0.50,50332,39
ASC10-K,13.6630,,AL SPLICE KIT,1,18.7165,0.73,80120,68
ASC10T                   ,6.0067,,AL COMPR SPLICE,24,12.0133,0.50,50308,39
ASC1-K,11.9412,,AL SPLICE KIT,1,16.3578,0.73,80115,68
ASC1T                    ,4.7839,,AL COMPR SPLICE,24,9.5678,0.50,50306,39
ASC20-K,14.7603,,AL SPLICE KIT,1,20.2196,0.73,80125,68
ASC20T                   ,6.3907,,AL COMPR SPLICE,12,12.7813,0.50,50310,39
ASC250-K,18.3723,,AL SPLICE KIT,1,25.1675,0.73,80140,68
ASC250T                  ,8.9570,,AL COMPR SPLICE,12,17.9140,0.50,50316,39
ASC2-K,11.7296,,AL SPLICE KIT,1,16.0680,0.73,80110,68
ASC2T                    ,3.5173,,AL COMPR SPLICE,24,7.0346,0.50,50304,39
ASC300-K,19.9740,,AL SPLICE KIT,1,27.3617,0.73,80145,68
ASC300T                  ,9.6990,,AL COMPR SPLICE,6,19.3980,0.50,50318,39
ASC30-K,15.3930,,AL SPLICE KIT,1,21.0863,0.73,80130,68
ASC30T                   ,6.9430,,AL COMPR SPLICE,12,13.8860,0.50,50312,39
ASC350-K,21.2315,,AL SPLICE KIT,1,29.0842,0.73,80150,68
ASC350T                  ,9.1334,,AL COMPR SPLICE,6,18.2668,0.50,50320,39
ASC400-K,26.5333,,AL SPLICE KIT,1,36.3470,0.73,80155,68
ASC400T                  ,12.0407,,AL COMPR SPLICE,6,24.0814,0.50,50324,39
ASC40-K,16.3140,,AL SPLICE KIT,1,22.3480,0.73,80135,68
ASC40T                   ,7.9815,,AL COMPR SPLICE,12,15.9629,0.50,50314,39
ASC4-K,11.7296,,AL SPLICE KIT,1,16.0680,0.73,80100,68
ASC4T                    ,3.1588,,AL COMPR SPLICE,24,6.3176,0.50,50302,39
ASC500-K,48.8611,,AL SPLICE KIT,1,66.9330,0.73,80160,68
ASC500T                  ,14.9206,,AL COMPR SPLICE,6,29.8411,0.50,50326,39
ASC600-K,60.3688,,AL SPLICE KIT,1,82.6970,0.73,80165,68
ASC600T                  ,19.8750,,AL COMPR SPLICE,6,39.7500,0.50,50328,39
ASC6T                    ,2.9892,,AL COMPR SPLICE,24,5.9784,0.50,50300,39
ASC750-K,50.9248,,AL SPLICE KIT,1,69.7600,0.73,80170,68
ASC750T                  ,22.5454,,AL COMPR SPLICE,3,45.0908,0.50,50330,39
ASL10N                   ,10.0111,,AL STACKING LUG,1,13.7138,0.73,60725,40
ASL20N                   ,12.4938,,AL STACKING LUG,1,17.1148,0.73,60730,40
ASL250N                  ,18.5405,,AL STACKING LUG,1,25.3979,0.73,60745,40
ASL300N                  ,18.8207,,AL STACKING LUG,1,25.7818,0.73,60750,40
ASL30N                   ,17.1389,,AL STACKING LUG,1,23.4779,0.73,60735,40
ASL350N                  ,21.6639,,AL STACKING LUG,1,29.6766,0.73,60755,40
ASL400N                  ,31.2745,,AL STACKING LUG,1,42.8418,0.73,60760,40
ASL40N                   ,18.4203,,AL STACKING LUG,1,25.2333,0.73,60740,40
ASL500N                  ,37.4013,,AL STACKING LUG,1,51.2346,0.73,60765,40
ASL600N                  ,39.0030,,AL STACKING LUG,1,53.4288,0.73,60770,40
ASL750N                  ,43.7683,,AL STACKING LUG,1,59.9566,0.73,60775,40
B10                      ,0.0882,,BUTT SPLICE,50,0.1960,0.45,70002,15
B10HT                    ,0.1689,,BUTT SPL HIGH TEMP,50,0.3378,0.50,16894,18
B10N                     ,0.1941,,BUTT SPLICE,50,0.4313,0.45,70022,15
B10R14                   ,0.3343,,SPLICE-REDUCER,50,0.7428,0.45,54020,15
B10R14V                  ,0.4082,,SPLICE-REDUCER,100,0.9071,0.45,70040,15
B10S,0.1818,,BUTT SPLICE,50,0.4039,0.45,70004,15
B10V                     ,0.1212,,BUTT SPLICE,50,0.2694,0.45,70012,15
B14                      ,0.0683,,BUTT SPLICE,100,0.1518,0.45,70001,15
B14HT                    ,0.1466,,BUTT SPL HIGH TEMP,50,0.2932,0.50,16893,18
B14N                     ,0.1386,,BUTT SPLICE,100,0.3081,0.45,70021,15
B14R18                   ,0.2249,,SPLICE-REDUCER,100,0.4997,0.45,54010,15
B14R18V                  ,0.2722,,SPLICE-REDUCER,100,0.6048,0.45,70041,15
B14V                     ,0.0873,,BUTT SPLICE,100,0.1940,0.45,70011,15
B18                      ,0.0554,,BUTT SPLICE,100,0.1232,0.45,70000,15
B18N                     ,0.1217,,BUTT SPLICE,100,0.2704,0.45,70020,15
B18V                     ,0.0755,,BUTT SPLICE,100,0.1677,0.45,70010,15
B6R8                     ,0.9242,,SPLICE-REDUCER,25,2.0538,0.45,54040,15
B6R8V                    ,1.2015,,SPLICE-REDUCER,25,2.6699,0.45,70042,15
B8                       ,0.4189,,BUTT SPLICE,25,0.9309,0.45,70003,15
B8R10                    ,0.4791,,SPLICE-REDUCER,50,1.0646,0.45,54030,15
B8R10V                   ,0.6880,,SPLICE-REDUCER,50,1.5289,0.45,70043,15
B8V                      ,0.5181,,BUTT SPLICE,25,1.1513,0.45,70013,15
BL10                     ,9.6642,,BUGLUG LAY-IN,25,14.8680,0.65,70865,80
BL2                      ,6.8393,,BUGLUG LAY-IN,50,10.5220,0.65,70860,80
BL4                      ,5.2670,,BUGLUG LAY-IN,50,8.1030,0.65,70855,80
BL6                      ,3.7603,,BUGLUG LAY-IN,50,5.7850,0.65,70850,80
BLOX-1G                  ,67.9398,,OXIDE INHIBITOR,1,104.5227,0.65,13982,45
BLOX-8                   ,5.7201,,OXIDE INHIBITOR,12,8.8002,0.65,13980,45
BLZNG-8                  ,7.1224,,OXIDE INHIBITOR,12,10.9576,0.65,13990,45
BS1-10                   ,25.4448,,BOND STUD,10,36.3497,0.70,70760,97
BS1-10-L,30.5337,,BOND STUD - LONG,10,43.6196,0.70,70762,97
BS1-2                    ,19.1801,,BOND STUD,25,27.4001,0.70,70755,97
BS1-2-L,23.0161,,BOND STUD - LONG,25,32.8801,0.70,70757,97
BS1-20                   ,35.1021,,BOND STUD,10,50.1459,0.70,70765,97
BS1-20-L,36.7802,,BOND STUD - LONG,10,52.5431,0.70,70767,97
BS1-3                    ,18.0941,,BOND STUD,25,25.8487,0.70,70750,97
BS1-3-L,21.7129,,BOND STUD - LONG,25,31.0184,0.70,70752,97
BS1-40                   ,57.4280,,BOND STUD,5,82.0400,0.70,70775,97
BS1-40-L,64.6863,,BOND STUD - LONG,5,92.4090,0.70,70777,97
BS1-5                    ,16.6474,,BOND STUD,25,23.7820,0.70,70745,97
BS1-5-L,17.4693,,BOND STUD - LONG,25,24.9562,0.70,70747,97
BS1-7                    ,14.4950,,BOND STUD,25,20.7071,0.70,70740,97
BS1-7-L,17.3940,,BOND STUD - LONG,25,24.8485,0.70,70742,97
BS2-10                   ,27.4283,,BOND STUD,10,39.1833,0.70,70800,97
BS2-10-L,32.9140,,BOND STUD - LONG,10,47.0200,0.70,70802,97
BS2-2                    ,21.4809,,BOND STUD,25,30.6870,0.70,70795,97
BS2-2-L,25.6225,,BOND STUD - LONG,25,36.6036,0.70,70797,97
BS2-20                   ,36.7984,,BOND STUD,10,52.5692,0.70,70805,97
BS2-20-L,44.1581,,BOND STUD - LONG,10,63.0830,0.70,70807,97
BS2-3                    ,20.7866,,BOND STUD,25,29.6952,0.70,70790,97
BS2-3-L,24.9439,,BOND STUD - LONG,25,35.6342,0.70,70792,97
BS2-40                   ,58.5275,,BOND STUD,5,83.6107,0.70,70815,97
BS2-40-L,70.2330,,BOND STUD - LONG,5,100.3328,0.70,70817,97
BS2-5                    ,19.0029,,BOND STUD,25,27.1470,0.70,70785,97
BS2-5-L,21.3898,,BOND STUD - LONG,25,30.5568,0.70,70787,97
BS2-7                    ,16.4785,,BOND STUD,25,23.5407,0.70,70780,97
BS2-7-L,19.7742,,BOND STUD - LONG,25,28.2489,0.70,70782,97
BTL-0                    ,1.1849,,AL LAY-IN GND LUG,50,2.3697,0.50,13805,96
BTL-000                  ,2.6700,,AL LAY-IN GND LUG,50,5.3400,0.50,13810,96
BTL-250                  ,3.3505,,AL LAY-IN GND LUG,25,6.7010,0.50,13815,96
BTL-4                    ,0.7669,,AL LAY-IN GND LUG,100,1.5337,0.50,13800,96
BTL-414-DB               ,3.0650,,CU LAY-IN GND LUG DB,50,4.1986,0.73,27205,80
BTL-414-DB-P,3.6800,,CU LAY-IN GND LUG DB,50,5.0411,0.73,27206,80
BTL-4-DB                 ,2.4515,,CU LAY-IN GND LUG DB,50,3.3582,0.73,27201,80
BTL-4-DB-P,2.9417,,CU LAY-IN GND LUG DB,50,4.0297,0.73,27202,80
C100                     ,20.7018,,UBOLT CLAMP 1-CABLE,1,34.5030,0.60,25000,88
C101                     ,23.6772,,UBOLT CLAMP 1-CABLE,1,39.4620,0.60,25020,88
C102                     ,35.4490,,UBOLT CLAMP 1-CABLE,1,59.0816,0.60,25040,88
C103                     ,36.0400,,UBOLT CLAMP 1-CABLE,1,60.0666,0.60,25060,88
C104                     ,22.3590,,UBOLT CLAMP 1-CABLE,1,37.2650,0.60,25080,88
C105                     ,38.0328,,UBOLT CLAMP 1-CABLE,1,63.3880,0.60,25100,88
C106                     ,62.3280,,UBOLT CLAMP 1-CABLE,1,103.8800,0.60,25120,88
C107                     ,26.2992,,UBOLT CLAMP 1-CABLE,1,43.8320,0.60,25140,88
C108                     ,26.8360,,UBOLT CLAMP 1-CABLE,1,44.7266,0.60,25160,88
C109                     ,29.3057,,UBOLT CLAMP 1-CABLE,1,48.8429,0.60,25180,88
C110                     ,43.7212,,UBOLT CLAMP 1-CABLE,1,72.8686,0.60,25200,88
C113                     ,28.2034,,UBOLT CLAMP 1-CABLE,1,47.0056,0.60,25240,88
C114                     ,29.5882,,UBOLT CLAMP 1-CABLE,1,49.3136,0.60,25260,88
C115                     ,29.9166,,UBOLT CLAMP 1-CABLE,1,49.8610,0.60,25280,88
C116                     ,87.2598,,UBOLT CLAMP 1-CABLE,1,145.4330,0.60,25300,88
C119                     ,28.3868,,UBOLT CLAMP 1-CABLE,1,47.3114,0.60,25340,88
C120                     ,30.7128,,UBOLT CLAMP 1-CABLE,1,51.1880,0.60,25360,88
C121                     ,38.2092,,UBOLT CLAMP 1-CABLE,1,63.6820,0.60,25380,88
